"","annot.symbol","log2FC_avg","pvale_avg","adjPval_avg"
"1","AGPAT3",-0.837955879181099,6.8689115105479e-06,0.00235453370668154
"2","ANKLE2",-0.788119290805574,5.0987556467736e-06,0.00190133751854973
"3","ANKRD11",-0.904850449405043,2.09455099116111e-05,0.00513683200575254
"4","ATP11A",-0.54374656062299,1.55092772117968e-05,0.00417032855420304
"5","BRD9",-0.540078206662105,2.45581001347618e-06,0.00111571390193427
"6","CCDC187",-0.775812794686582,7.88533015415965e-06,0.00259952759868027
"7","DENND3",-0.994212516343054,7.61210402983897e-08,7.69876154215568e-05
"8","EHMT1",-0.844108201990843,1.33990369304003e-06,0.000711734125592194
"9","EIF3B",-0.517641649631251,1.46914884011041e-05,0.00401695280596122
"10","LINC02188",-0.752167499324245,2.47343046619076e-05,0.00576484733475711
"11","MAD1L1",-0.72482006778108,1.29342865447254e-06,0.000692988222609825
"12","NCOR2",-0.688221051289918,2.09531219822643e-08,2.68595996879499e-05
"13","PFKP",-0.891098594187789,3.2265989887804e-07,0.000239279405533877
"14","POLR2A",-1.02902944267431,1.89166321111979e-05,0.0047807367724795
"15","PPP6R2",-1.03660529063447,1.20098552651329e-11,4.85229477320825e-08
"16","PRDM15",-0.747611268255579,2.4444343713327e-06,0.00111185014118855
"17","SDHA",-0.685441627392224,6.0834712168859e-06,0.00215838660557033
"18","SPG7",0.844867758803063,8.98561858587888e-06,0.00284946091381336
"19","SUN1",-0.591814969990926,5.68216833551147e-07,0.000369920287037377
