"","annot.symbol","log2FC_avg","pvale_avg","adjPval_avg"
"1","ADAP1",0.896715843738113,2.79912521800146e-07,5.6326950736834e-05
"2","ANKRD11",-0.668486397197747,1.13682046675686e-06,0.000170805953035724
"3","ATP11A",-0.951567024728679,2.67855027157283e-05,0.00192662781311452
"4","CCDC57",-0.8891463756421,0.000103505964570459,0.00521474420299708
"5","CHFR",-0.749192408893717,0.00022394483854704,0.00908080063863742
"6","CTTN",-0.743122667653801,3.48306278539013e-05,0.00234479866135987
"7","DENND3",-0.703210856237949,1.78837137095638e-05,0.00142383969569459
"8","DNM2",0.775342173823951,1.60723486828304e-09,8.19261280805443e-07
"9","DNMT1",-0.560029561436719,0.000145606430746002,0.0066718003043564
"10","DPP9",0.60891966510268,4.87919930499336e-05,0.003007715464595
"11","GET4",0.677513356962154,5.73635569973734e-07,9.97706232464716e-05
"12","HDAC4",-0.599931330669237,0.00020336898972873,0.00847481655201273
"13","HDLBP",-0.705920764556905,1.63908884274502e-06,0.000227126499215442
"14","KIF1A",0.608093880536973,5.70513626455957e-05,0.00337482745077172
"15","LAMA5",0.880502952570709,5.24345040099315e-06,0.000560579386633512
"16","MAD1L1",0.746181892210657,8.76998065480673e-06,0.000831663390330616
"17","MCF2L",0.767292385538746,2.2556472248749e-11,2.17501517506536e-08
"18","NADSYN1",-0.74643165768868,2.08741497283071e-09,1.0205913033843e-06
"19","NCOR2",0.683063059044891,1.24936790286539e-05,0.00108721865003228
"20","NPHP4",-0.539571552693386,7.72450586262219e-07,0.000126050743226008
"21","PALM",1.02854377195772,0.000175770853509203,0.00763930133387979
"22","PIGG",1.08658752504421,9.42074237106867e-11,7.37802501935262e-08
"23","PKN1",-0.724062946856109,4.10996670842445e-07,7.66158800739075e-05
"24","PRDM15",-0.658856637804286,1.20035752797562e-05,0.0010544886881792
"25","PRKCZ",0.65016067765164,4.54948264914441e-05,0.00285679984935972
"26","RGS12",-0.896102146485331,4.411907097334e-05,0.00279261540532416
"27","RNF213",-0.715108265123925,1.69896985574308e-08,5.77932453786236e-06
"28","SEPTIN9",-0.907176974778003,6.73468593601036e-12,7.73548994784803e-09
"29","SMARCA4",-0.502609279482389,1.38147879458644e-05,0.00117290479665516
"30","SNHG14",0.542938031676627,7.11471419928218e-05,0.00397114662019972
"31","SPG7",-0.68964394561382,2.33715468581719e-05,0.00174077803348002
"32","SPTAN1",-0.972060802498308,4.34187310471213e-06,0.000484519945703133
"33","SUN1",-0.789032104844748,6.65627084229003e-06,0.000672821678861361
"34","TCF25",0.684484973468838,1.08839484624635e-08,4.00891323732787e-06
"35","TNK2",-0.565686553759638,2.29577533711981e-05,0.00171836808198792
"36","TSC2",0.800732317322636,8.68144383245118e-07,0.000138114688210846
"37","ZC3H18",-0.729326299610272,8.70176376847392e-06,0.000826812729619022
